ID,Zotero_Key,Author_Year,Title,AI_Literacies,Generative_KI,Prompting,KI_Sonstige,Soziale_Arbeit,Bias_Ungleichheit,Gender,Diversitaet,Feministisch,Fairness,Decision,Exclusion_Reason,Studientyp,LLM_Confidence,LLM_Reasoning
1,BHXDU7VM,Chatterji et al. (2025),How People Use ChatGPT,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Unclear,0.5,"Der Titel deutet auf eine Studie zur ChatGPT-Nutzung hin (Generative_KI = Ja), jedoch fehlt jeglicher sozialer Bezug (Bias, Gender, Soziale Arbeit etc.). Der Abstract liefert nur eine institutionelle Beschreibung des NBER ohne inhaltliche Information zum Paper. Kein SOZIAL-Kriterium erfüllt, daher Exclude."
2,I78CL6R5,Chiu et al. (2024),What are artificial intelligence literacy and competency? A comprehensive framework to support them,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Konzept,0.65,"Der Titel deutet auf ein Framework für KI-Literalität und -Kompetenzen hin (AI_Literacies = Ja). Ohne Abstract fehlt ein soziales Kriterium (Soziale_Arbeit, Bias, Gender, Diversität, etc.). Da kein SOZIAL-Kriterium erfüllt ist, wird das Paper ausgeschlossen. Bei verfügbarem Abstract könnte sich dies ändern, falls soziale Dimensionen behandelt werden."
3,VP6SXQHY,Benlian & Pinski (2025),The AI literacy development canvas: Assessing and building AI literacy in organizations,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Konzept,0.65,"Das Paper entwickelt ein Canvas-Framework zur Bewertung und Entwicklung von KI-Kompetenz in Organisationen (AI_Literacies = Ja). Es fehlt jedoch ein sozialer Bezug (keine Soziale Arbeit, kein Bias/Ungleichheit, kein Gender, keine Diversität). Da SOZIAL_OK nicht erfüllt ist, ist Exclude die logisch konsistente Entscheidung. Kein Abstract verfügbar, daher moderate Konfidenz."
4,AXEIVEW3,Lanzetta et al. (2024),Artificial Intelligence Competence Needs for Youth Workers,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Include,,Empirisch,0.92,"Das Paper behandelt substantiell KI-Kompetenzen (AI Competence Framework) für Jugendarbeiter:innen und adressiert damit AI_Literacies direkt. Generative KI wird explizit erwähnt (Gen Z als aktivste Nutzer:innen). Jugendarbeit ist ein anerkanntes Feld der Sozialen Arbeit, sodass Soziale_Arbeit klar erfüllt ist. Mixed-Methods-Ansatz (Systematic Review, Fokusgruppen, Interviews) macht es zu einer empirischen Studie."
5,UFE85SCV,Casal-Otero et al. (2023),AI literacy in K-12: a systematic literature review,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Literaturreview,0.85,"Das Paper behandelt AI Literacy im K-12-Bereich (Schulbildung) substantiell. Die TECHNIK-Bedingung ist erfüllt (AI_Literacies=Ja). Jedoch erfüllt das Paper keine SOZIAL-Kategorie: Kein Bezug zu Sozialer Arbeit, kein Fokus auf Bias/Ungleichheit, Gender, Diversität, Feminismus oder Fairness. Das Paper ist bildungswissenschaftlich ausgerichtet, adressiert aber keine der relevanten sozialen Kategorien substantiell."
6,J9IZDVTW,Biagini et al. (2024),"Less knowledge, more trust? Exploring potentially uncritical attitudes towards AI in higher education",Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Empirisch,0.85,"Das Paper behandelt AI Literacy im Hochschulkontext (Doktoranden) substantiell, erfüllt damit die Technik-Bedingung. Jedoch fehlt jede soziale Dimension: kein Bezug zu Sozialer Arbeit, kein Bias/Ungleichheits-Fokus, kein Gender, keine Diversität, keine feministische Perspektive, keine Fairness-Metriken. Ethische Implikationen werden erwähnt, aber ohne spezifischen Sozial-Fokus. TECHNIK_OK, aber SOZIAL nicht erfüllt → Exclude."
7,P82X89Q4,Chee et al. (2025),A Competency Framework for AI Literacy: Variations by Different Learner Groups and an Implied Learning Pathway,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Literaturreview,0.9,"Das Paper entwickelt ein Kompetenzrahmenwerk für AI Literacy über verschiedene Bildungsstufen (K-12, Hochschule, Arbeitswelt). Es erfüllt die TECHNIK-Bedingung (AI_Literacies = Ja), jedoch keine der SOZIAL-Kategorien substantiell. Weder Soziale Arbeit, noch Bias/Ungleichheit, Gender, Diversität, feministische Perspektiven oder Fairness werden behandelt. Das Paper fokussiert auf allgemeine Bildungscurricula ohne sozialarbeiterischen Bezug oder Diskriminierungsthematik."
8,KPSF8EZE,Chiu (2025),"AI literacy and competency: definitions, frameworks, development and future research directions",Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Literaturreview,0.65,"Das Paper behandelt AI Literacy und Kompetenzen – damit ist TECHNIK_OK erfüllt. Jedoch fehlt ein klarer SOZIAL-Bezug: Kein Hinweis auf Soziale Arbeit, Bias, Gender, Diversität, Fairness oder feministische Perspektiven. Ein allgemeines Framework-Review zu AI Literacy ohne sozialen Bezug erfüllt die Einschlusskriterien nicht. Ohne Abstract ist die Einschätzung mit mittlerer Sicherheit."
9,XCS4YCQH,European Commission. Joint Research Centre. (2017),DigComp 2.1: the digital competence framework for citizens with eight proficiency levels and examples of use.,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Konzept,0.75,"DigComp 2.1 ist ein Framework für digitale Kompetenzen von Bürger:innen der EU-Kommission. Es behandelt allgemeine digitale Kompetenz (nicht spezifisch KI-Kompetenz) ohne Bezug zu KI-Systemen, generativer KI oder sozialen Ungleichheiten im KI-Kontext. Die SOZIAL-Bedingung ist nicht erfüllt, da weder Soziale Arbeit, Bias, Gender, Diversität, feministische Perspektiven noch Fairness substantiell behandelt werden."
10,SY8LNID7,Arias López et al. (2023),Digital literacy as a new determinant of health: A scoping review,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Literaturreview,0.95,"Das Paper behandelt digitale Gesundheitskompetenz (eHealth Literacy) im medizinischen Kontext, nicht KI-Systeme oder generative KI. Der Fokus liegt auf dem Finden und Nutzen von Gesundheitsinformationen mittels Technologie – ohne Bezug zu KI, algorithmischen Systemen, Bias in KI oder Sozialer Arbeit. Keine der Technik- oder Sozialkategorien ist substantiell erfüllt."
11,43CRXRRT,Tinmaz et al. (2022),A systematic review on digital literacy,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Literaturreview,0.95,"Das Paper behandelt digitale Kompetenz allgemein (digital literacy, digital skills, digital competencies), nicht spezifisch KI-bezogene Kompetenzen. Kein Bezug zu KI-Systemen, Algorithmen, generativer KI oder verwandten Themen. Auch kein Bezug zu sozialer Arbeit, Bias oder Fairness. Die Kategorien AI_Literacies wäre nur bei explizitem KI-Fokus anwendbar, der hier nicht vorliegt."
12,HTXCWNQ9,Peng et al. (2022),A Literature Review of Digital Literacy over Two Decades,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Literaturreview,0.95,"Das Paper behandelt digitale Literalität im Kontext von Online-Lernen, nicht KI-spezifische Kompetenzen (AI Literacy). Es gibt keinen Bezug zu KI-Systemen, generativen Modellen, algorithmischen Entscheidungssystemen oder anderen KI-Themen. Gender wird als demografische Variable erwähnt, aber nicht als kritische Analysekategorie. Weder Technik- noch relevante Sozialkategorien sind erfüllt."
13,7G78SADI,Pinski & Benlian (2024),"AI literacy for users – A comprehensive review and future research directions of learning methods, components, and effects",Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Literaturreview,0.7,"Das Paper fokussiert auf AI Literacy für Nutzer:innen – Lernmethoden, Komponenten und Effekte. TECHNIK_OK (AI_Literacies = Ja), aber SOZIAL_OK fehlt: Kein expliziter Bezug zu Sozialer Arbeit, Bias/Ungleichheit, Gender, Diversität, feministischer Theorie oder algorithmischer Fairness erkennbar. Ohne Abstract schwer zu beurteilen, aber Titel deutet auf allgemeines AI-Literacy-Framework ohne sozialen Fokus hin."
14,3AQ2K3BX,Ng et al. (2021),Conceptualizing AI literacy: An exploratory review,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Literaturreview,0.7,"Das Paper behandelt AI Literacy als Konzept (exploratory review), was die TECHNIK-Bedingung erfüllt. Jedoch fehlt ohne Abstract jeglicher Beleg für eine SOZIAL-Dimension (kein Bias, kein Gender, keine Soziale Arbeit etc.). Ng et al. (2021) ist ein bekanntes konzeptuelles Framework-Paper zu AI Literacy ohne spezifischen sozialen Fokus. Da nur TECHNIK_OK, aber nicht SOZIAL_OK: Exclude."
15,7VFNS5R3,Kong et al. (2021),Evaluation of an artificial intelligence literacy course for university students with diverse study backgrounds,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Include,,Empirisch,0.6,"Das Paper evaluiert einen KI-Literacy-Kurs für Universitätsstudierende mit unterschiedlichen Studienhintergründen. AI_Literacies ist klar erfüllt. Die Diversität der Studienhintergründe deutet auf Inklusion und Diversität hin. Kein Abstract verfügbar, daher moderate Konfidenz. TECHNIK_OK (AI_Literacies) und SOZIAL_OK (Diversitaet) sind erfüllt → Include."
16,23Y3627L,Wang et al. (2023),Measuring user competence in using artificial intelligence: validity and reliability of artificial intelligence literacy scale,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Empirisch,0.7,"Das Paper entwickelt und validiert eine Skala zur Messung von KI-Kompetenz (AI Literacy), was klar unter AI_Literacies fällt. Es fehlt jedoch ein sozialer Bezug (Soziale Arbeit, Bias, Gender, Diversität, Fairness, Feministisch). Ohne SOZIAL-Kriterium ist kein Include möglich. Technisch erfüllt, sozial nicht."
17,4BRSDIPP,Laupichler et al. (2023),Development of the “Scale for the assessment of non-experts’ AI literacy” – An exploratory factor analysis,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Empirisch,0.75,"Das Paper entwickelt eine Skala zur Messung von KI-Kompetenz bei Nicht-Experten (AI Literacy) und verwendet explorative Faktorenanalyse. AI_Literacies ist klar erfüllt (TECHNIK_OK). Jedoch fehlt ein soziales Kriterium: kein direkter Bezug zu Sozialer Arbeit, Bias, Gender, Diversität, feministischer Theorie oder Fairness-Metriken. Die reine Skalenentwicklung ohne sozialen Kontext erfüllt die SOZIAL-Bedingung nicht."
18,YDW5TX8M,Deuze & Beckett (2022),"Imagination, Algorithms and News: Developing AI Literacy for Journalism",Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Konzept,0.7,"Das Paper behandelt AI Literacy im Journalismus-Kontext (Algorithmen, Nachrichten). Technik-Kriterium erfüllt (AI_Literacies, KI_Sonstige). Kein Bezug zu sozialer Arbeit, Bias, Gender, Diversität, feministischer Theorie oder Fairness als substantielle Themen erkennbar. Journalismus ist kein Bereich der Sozialen Arbeit. SOZIAL-Kriterium nicht erfüllt → Exclude."
