ID,Zotero_Key,Author_Year,Title,AI_Literacies,Generative_KI,Prompting,KI_Sonstige,Soziale_Arbeit,Bias_Ungleichheit,Gender,Diversitaet,Feministisch,Fairness,Decision,Exclusion_Reason,Studientyp,LLM_Confidence,LLM_Reasoning,Input_Source
1,BHXDU7VM,Chatterji et al. (2025),How People Use ChatGPT,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,No_full_text,Unclear,0.95,"Das Abstract enthält nur eine institutionelle Beschreibung des NBER und keine inhaltlichen Informationen zum Paper. Der Titel deutet auf Generative_KI hin, aber ohne substantielles Abstract oder Zugang zum vollständigen Text kann keine verlässliche Bewertung vorgenommen werden. Kritisch: Kein sozialer Kontext erkennbar (Soziale_Arbeit, Bias, Gender, Diversität, Fairness). Technik-Kriterium möglich, Sozial-Kriterium nicht erfüllt.",Abstract
2,I78CL6R5,Chiu et al. (2024),What are artificial intelligence literacy and competency? A comprehensive framework to support them,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Include,,Empirisch,0.92,"Paper erfüllt beide Kriterien: TECHNIK-Komponenten deutlich vorhanden (AI_Literacies als Kernfokus, Generative_KI/ChatGPT/Sora, Prompting-Fähigkeiten, klassisches ML). SOZIAL-Komponenten vorhanden (Bias_Ungleichheit/Fairness als Kernethik-Prinzipien, Diversität durch 'underrepresented youth in STEM'). Nicht als Soziale_Arbeit kodiert, da Kontext K-12-Bildung, nicht sozialarbeiterische Praxis. Gender nicht, da nur deskriptive Nennung der Stichprobenzusammensetzung ohne Analysefokus.",KD
3,VP6SXQHY,Benlian & Pinski (2025),The AI literacy development canvas: Assessing and building AI literacy in organizations,Ja,Ja,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Include,,Konzept,0.92,"Paper erfüllt beide Bedingungen: TECHNIK_OK (AI_Literacies=Ja, Generative_KI=Ja, KI_Sonstige=Ja) und SOZIAL_OK (Bias_Ungleichheit=Ja, Gender=Ja, Diversitaet=Ja, Fairness=Ja). Fokus auf Kompetenzbewertung und Entwicklung (AI Literacy Canvas), Algorithmic Bias (Workday-Fall mit Geschlechtsdiskriminierung), diverse Organisationsgruppen und Fairness-Standards. Prompting: Nur beiläufige Erwähnung ohne substantielle Behandlung → Nein. Feministisch: Keine explizite feministische Theorie erkennbar.",KD
4,AXEIVEW3,Lanzetta et al. (2024),Artificial Intelligence Competence Needs for Youth Workers,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Include,,Empirisch,0.95,"Das Paper erfüllt beide Bedingungen eindeutig: TECHNIK: Umfassende Behandlung von AI Literacies (Kompetenzrahmen für Jugendarbeiter), Generative KI (ChatGPT), Prompting (Prompt Engineering als essenzielle Fähigkeit), KI Sonstige (Algorithmen, Personalisierung, Bias). SOZIAL: Direkter Fokus auf Jugendarbeit (Praxis, Fachleute), substantielle Analyse von Bias/Ungleichheit (algorithmischer Bias, Digital Divide), Gender (geschlechtsspezifische Unterschiede, Stereotypen), Diversität/Inklusion (mehrsprachig, kulturelle Sensibilität), Fairness (ethische Verantwortung, Schutzrechte). Empirische Methodik (Fokusgruppen, Interviews) mit 4 europäischen Ländern.",KD
5,UFE85SCV,Casal-Otero et al. (2023),AI literacy in K-12: a systematic literature review,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Include,,Literaturreview,0.95,"Das Paper ist eine systematische Literaturübersicht zu AI Literacy in K-12 Bildung. TECHNIK erfüllt: AI_Literacies (zentral: Kompetenzen/Fähigkeiten im Umgang mit KI), KI_Sonstige (ML, Robotik, NLP werden als KI-Komponenten behandelt). SOZIAL erfüllt: Bias_Ungleichheit (explizite Thematisierung von Automatisierung, Arbeitsplatzabbau und wachsender Ungleichheit), Gender (Geschlechterperspektive und Geschlechterkluft in CS werden adressiert), Diversitaet (Fokus auf Minderheiten und benachteiligte Schüler), Fairness (ethische Dimensionen und Fairness in AI-Systemen). Beide Bedingungen erfüllt → Include.",KD
6,J9IZDVTW,Biagini et al. (2024),"Less knowledge, more trust? Exploring potentially uncritical attitudes towards AI in higher education",Ja,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Include,,Empirisch,0.92,"Paper behandelt substantiell KI-Literalität (4 Dimensionen: kognitiv, operativ, kritisch, ethisch) an Hochschule – erfüllt AI_Literacies. Adressiert allgemeine KI-Systeme und deren Implikationen (KI_Sonstige). Diskutiert algorithmische Ungerechtigkeit, Equity/Fairness und Bias in KI-Systemen (Bias_Ungleichheit, Fairness). Verschiedene Doktorandenprogramme deuten auf Diversitätsaspekt hin. TECHNIK (AI_Literacies + KI_Sonstige) UND SOZIAL (Bias_Ungleichheit + Fairness + Diversitaet) erfüllt → Include.",KD
7,P82X89Q4,Chee et al. (2025),A Competency Framework for AI Literacy: Variations by Different Learner Groups and an Implied Learning Pathway,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Include,,Literaturreview,0.92,"Das Paper entwickelt einen umfassenden AI-Literacy-Kompetenzrahmen (AI_Literacies: Ja). Es behandelt substanziell klassische KI-Themen wie ML, Algorithmen und Datenverarbeitung (KI_Sonstige: Ja). Der explizite Fokus auf unterschiedliche Lerngruppen nach Bildungsniveau und Disziplin mit Implikation für gleichberechtigten Zugang und systematische Förderung adressiert Diversität und inklusive Entwicklung (Diversitaet: Ja). TECHNIK und SOZIAL sind erfüllt → Include.",KD
8,KPSF8EZE,Chiu (2025),"AI literacy and competency: definitions, frameworks, development and future research directions",Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Include,,Konzept,0.95,"Paper erfüllt beide Bedingungen: TECHNIK_OK (AI_Literacies, Generative_KI, Prompting, KI_Sonstige substanziell behandelt) und SOZIAL_OK (Bias_Ungleichheit, Diversitaet, Fairness zentral für ethische Literacy und Zukunftsforschung). Konzeptionaler Rahmenwerk-Artikel ohne empirische Daten, aber mit klarer theoretischer Substanz zu KI-Kompetenzen und deren sozialen Dimensionen.",KD
9,XCS4YCQH,European Commission. Joint Research Centre. (2017),DigComp 2.1: the digital competence framework for citizens with eight proficiency levels and examples of use.,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Exclude,Not_relevant_topic,Konzept,0.85,"DigComp 2.1 ist ein Framework für digitale Kompetenzen (AI_Literacies: Ja) mit Fokus auf Diversität und Inklusion (Diversitaet: Ja). JEDOCH: Das Paper behandelt allgemeine digitale Kompetenzen, nicht KI-spezifische Literacies. Es adressiert keine sozialen Arbeit, keine algorithmischen Systeme und keinen Bias-Fokus. Für diesen KI-Literaturreview ist das Papier zu breit und zu wenig KI-fokussiert. Es fällt unter digitale Allgemeinbildung, nicht unter KI-Kompetenzen im engeren Sinne.",KD
10,SY8LNID7,Arias López et al. (2023),Digital literacy as a new determinant of health: A scoping review,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Exclude,Not_relevant_topic,Literaturreview,0.95,"Das Paper behandelt Digital Health Literacy im Gesundheitskontext—ein wichtiges Thema für Soziale Arbeit, Equity und Fairness. JEDOCH: Es fokussiert auf digitale Kompetenzen im Allgemeinen (Gesundheitsinformationen online nutzen, Patient Portals), NICHT auf KI-Systeme, Machine Learning, algorithmische Entscheidungssysteme oder generative KI. Die erforderliche TECHNIK-Komponente (KI-relevantes Paper) ist nicht erfüllt. Es ist ein Healthcare/Equity-Paper ohne KI-Substanz.",KD
