work_id,title,flags,review_status,legacy_work_ids
work:0079c902-19b5-5e78-8b23-06cda81b2792,"Feminist AI: Confronting Bias, Power, and the Promise of Justice-Oriented Technology","[""correct_article_doi_recovered"", ""doi_resolves_to_issue_level_record"", ""input_doi_identifies_parent_issue"", ""public_fulltext_without_explicit_open_license""]","{""identity"": ""conflict"", ""metadata"": ""conflict"", ""source"": ""fulltext_available""}","[""doi:10.31995/jgv.2026.v17i01""]"
work:0414138e-c8db-522b-8e98-94913418d861,The Politics of Prompt Engineering,"[""no_open_fulltext_found"", ""publisher_access_state_not_machine_verifiable""]","{""identity"": ""confirmed"", ""metadata"": ""confirmed"", ""source"": ""abstract_only""}","[""doi:10.1215/2834703x-12095946""]"
work:07d0801a-2468-5738-b788-0e265e95976a,"AI For Whom? Participation, Power and Educational Pathways in the Age of Artificial Intelligence",[],"{""identity"": ""confirmed"", ""metadata"": ""confirmed"", ""source"": ""fulltext_available""}","[""doi:10.1111/ejed.70602""]"
work:0956e6b6-04d8-5572-a9a0-9018c23788a2,"""Grillz on a hijabi"": Intersectional Identities in Fostering Critical AI Literacy","[""cross_lane_duplicate_consolidated"", ""open_preprint_available"", ""preprint_and_version_of_record_identified"", ""publisher_fulltext_access_not_established""]","{""identity"": ""confirmed"", ""metadata"": ""confirmed"", ""source"": ""fulltext_available""}","[""doi:10.1145/3769994.3770037""]"
work:0b69246b-4c05-5e2f-a22e-1416ec893b1d,Beyond inclusion: feminist AI for transformative justice in STEM,"[""distinct_from_other_kubes_intake_work"", ""repository_identifier_is_identical_copy""]","{""identity"": ""confirmed"", ""metadata"": ""confirmed"", ""source"": ""fulltext_available""}","[""doi:10.1007/s43681-026-01161-9""]"
work:1406264b-e0cd-5dde-be3b-dbfd17fb0711,Intersectional biases in narratives produced by open-ended prompting of generative language models,"[""cross_lane_duplicate_consolidated"", ""preprint_accepted_manuscript_and_version_of_record_identified"", ""preprint_title_changed_before_publication""]","{""identity"": ""confirmed"", ""metadata"": ""confirmed"", ""source"": ""fulltext_available""}","[""doi:10.1038/s41467-025-68004-9""]"
work:38dda3f3-a302-5518-ae71-9d25ce9728c7,Gender bias in text-to-image generative artificial intelligence: Neglect and stereotypical presentations across three popular platforms,"[""public_fulltext_without_explicit_open_license""]","{""identity"": ""confirmed"", ""metadata"": ""confirmed"", ""source"": ""fulltext_available""}","[""doi:10.1177/14614448261435197""]"
work:3b02e536-2608-5664-8375-e41cd0501530,Metacognitive AI literacy: going beyond the AI skills gap agenda,"[""institutional_record_is_not_a_separate_text_version""]","{""identity"": ""confirmed"", ""metadata"": ""confirmed"", ""source"": ""fulltext_available""}","[""doi:10.1080/17439884.2026.2652638""]"
work:45d9af93-79ae-5cea-834f-b465c751fc8d,Feminist knowledges in the age of AI,"[""public_fulltext_without_explicit_open_license""]","{""identity"": ""confirmed"", ""metadata"": ""conflict"", ""source"": ""fulltext_available""}","[""doi:10.1177/13505068261419933""]"
work:46be07be-83b3-59c5-946e-b41472558493,A Critique of Human-Centred AI: A Plea for a Feminist AI Framework (FAIF),"[""cross_lane_duplicate_consolidated"", ""distinct_from_other_kubes_intake_work"", ""input_year_uses_volume_year_2026_online_publication_2025"", ""publisher_correction_attached"", ""repository_identifier_is_identical_copy""]","{""identity"": ""confirmed"", ""metadata"": ""conflict"", ""source"": ""fulltext_available""}","[""doi:10.1007/s00146-025-02556-8""]"
