work_id,title,record_ids,preferred_version_id,human_decisions,human_substantive_decisions,human_duplicate_record_ids,human_metadata_error_record_ids,historical_identity_bindings,historical_resolution,integrity_hold,agent_decisions,decision_authority,human_verification,agent_lifecycle_states,current_ai_review_results,corrected_ai_record_ids,ai_correction_provenance,open_ai_source_review_record_ids,effective_decision,analysis_eligible,analysis_conflicts,analysis_undecidable,conflicts,source_queue_status,source_blockers,source_acquisition_progress,next_actions
work:012f5d3f-8023-549d-aafa-351a298b8208,AI literacy in K-12: a systematic literature review,"[""UFE85SCV""]",version:9fea92e6-424e-5392-ba5c-e7341335c4a9,"[""Include""]","[""Include""]",[],[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Include,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits"", ""complete_source_bound_SQ1_SQ2_SQ3_coding""]"
work:02644be9-7d50-5d9e-a122-62e031e1263d,Explainability through systematicity: The hard systematicity challenge,"[""YV53DKI2""]",version:cb0ca879-cb67-5c4a-952a-f5d0969fe083,"[""Include""]","[""Include""]",[],[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Include,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits"", ""complete_source_bound_SQ1_SQ2_SQ3_coding""]"
work:03c5d999-8f35-5312-8651-ade4abebf935,Voll (dia)logisch? Ein Werkstattbericht über den Einsatz von generativer KI in der Hochschulbildung für Soziale Arbeit – Curriculare Überlegungen und veränderte Akteurskonstellationen,"[""DGLWM93D""]",version:1bb4b1af-7508-5d41-9386-290c0f9d3d53,"[""Include""]","[""Include""]",[],[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Include,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits"", ""complete_source_bound_SQ1_SQ2_SQ3_coding""]"
work:0542622c-1314-56f0-9dc3-706ebfafef27,On the steerability of large language models,"[""RM833D5N""]",version:bf6f5024-c422-5a54-8fcf-1a948b2502cc,"[""Include""]","[""Include""]",[],[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Include,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits"", ""complete_source_bound_SQ1_SQ2_SQ3_coding""]"
work:09fe1e88-16c9-53bd-b04b-f8afd09f5ba7,What large language models know and what people think they know,"[""KRUQB7L2"", ""RXNXJA8W""]",version:a4196267-e2d5-54de-a058-cbe88c637042,"[""Exclude"", ""Include""]","[""Include""]","[""KRUQB7L2""]",[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Include,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits"", ""complete_source_bound_SQ1_SQ2_SQ3_coding""]"
work:0a676f75-d839-5eb9-b390-5921f1658895,Evaluation of an artificial intelligence literacy course for university students with diverse study backgrounds,"[""7VFNS5R3""]",version:ce6ccb5d-d20d-5309-9f32-2d2a1d63fbc7,"[""Include""]","[""Include""]",[],[],{},,False,"[""Include""]",legacy_human,legacy_human_annotation_not_new_lifecycle_verification,"[""ai-agent-reviewed""]","[""accepted""]",[],[],[],Include,True,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits"", ""retain_ai_review_tier_and_record_any_further_review_at_artifact_level""]"
work:0b4ab982-d5f4-51f6-86ce-67a85417671e,Responsible prompting recommendation: Fostering responsible AI practices in prompting-time,"[""CLKAD87H""]",version:475ad370-82a1-5dc1-8e8b-bae300569daa,"[""Include""]","[""Include""]",[],[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Include,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits"", ""complete_source_bound_SQ1_SQ2_SQ3_coding""]"
work:0bc6596e-97fd-5a1e-9784-5f4b4d4a3c3e,A formal account of AI trustworthiness: Connecting intrinsic and perceived trustworthiness in an operational schematization,"[""PH7JBBC8"", ""U9ACKGB4"", ""XJCEMM3D""]",version:05cf569a-4429-52b7-b588-9612b90c6e2e,"[""Exclude""]","[""Exclude""]","[""PH7JBBC8"", ""XJCEMM3D""]",[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Exclude,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits""]"
work:0c2ad2ad-465d-58cd-a308-c9092a50e54b,Artificial Intelligence in Social Work: Emerging Ethical Issues,"[""CF6T2RD7"", ""X2QQ4JH6""]",version:29fd93b2-6e7e-5cad-9963-dfd006b0c5cf,"[""Exclude""]",[],"[""CF6T2RD7"", ""X2QQ4JH6""]",[],{},,False,[],unassessed,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits""]"
work:0d533a68-1d7e-56cf-9614-d2a88a84fdcc,The influence of mental state attributions on trust in large language models,"[""7IY7AX7D"", ""8JFZMD5G""]",version:4a128bd4-4c58-5f06-ae68-9bd86896dc84,"[""Exclude""]","[""Exclude""]","[""8JFZMD5G""]",[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Exclude,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits""]"
work:0dbe7e45-08b2-5733-a18a-2b432ddabce7,Handbuch Soziale Arbeit und Digitalisierung,"[""HT9ZSI9U""]",version:d529d71d-dd2f-5947-8e09-c84ba1e1cc38,"[""Exclude""]","[""Exclude""]",[],[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Exclude,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits""]"
work:0e595be5-eb17-5bbf-917f-20a5404bbf8a,Mitigating age-related bias in large language models: Strategies for responsible artificial intelligence development,"[""W8DFWR9L""]",version:fc29fddc-76bb-5212-80b4-e6ea2697696c,"[""Include""]","[""Include""]",[],[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Include,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits"", ""complete_source_bound_SQ1_SQ2_SQ3_coding""]"
work:0f32c6e1-9f19-5e58-b51e-6099f4cc91cd,Automated government benefits and welfare surveillance,"[""S8WGUVQT""]",version:46fd8577-57f9-5d87-acee-21302e91554d,"[""Exclude""]","[""Exclude""]",[],[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Exclude,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits""]"
work:1019c1dc-be6c-54d5-91eb-257491bec551,"Guardrails, not guidance: Understanding responses to LGBTQ+ language in large language models","[""WLV8L8PM""]",version:20de392b-b354-5527-bcba-2f73c506c2a7,"[""Include""]","[""Include""]",[],[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Include,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits"", ""complete_source_bound_SQ1_SQ2_SQ3_coding""]"
work:1192030b-c54a-5142-aa2b-3b9082e2f603,Reflexive prompt engineering: A framework for responsible prompt engineering and AI interaction design,"[""8WBUGXRR""]",version:45c4ba79-e9f1-559d-9528-214f7834bbad,"[""Include""]","[""Include""]",[],[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Include,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits"", ""complete_source_bound_SQ1_SQ2_SQ3_coding""]"
work:135fb923-b32d-521c-9393-f5c6e4491369,Intersectional Fairness: A Fractal Approach,"[""K6JQ7SVA""]",version:96febd23-a639-517d-91b9-8169623975b9,"[""Include""]","[""Include""]",[],[],{},,False,[],legacy_human,legacy_human_annotation_not_new_lifecycle_verification,[],[],[],[],[],Include,False,{},{},[],,[],[],"[""retain_legacy_human_decision_and_document_historical_provenance_limits"", ""complete_source_bound_SQ1_SQ2_SQ3_coding""]"
