ID,Zotero_Key,Author_Year,Title,AI_Literacies,Generative_KI,Prompting,KI_Sonstige,Soziale_Arbeit,Bias_Ungleichheit,Gender,Diversitaet,Feministisch,Fairness,Decision,Exclusion_Reason,Studientyp,LLM_Confidence,LLM_Reasoning,Input_Source
1,BHXDU7VM,Chatterji et al. (2025),How People Use ChatGPT,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Unclear,0.5,"Der Titel deutet auf eine Nutzungsstudie zu ChatGPT hin (Generative KI = Ja), jedoch fehlt im Abstract jede inhaltliche Information zum Paper. Der Abstract beschreibt nur die NBER-Organisation, nicht das Paper selbst. Da keine sozialen Kategorien (Bias, Gender, Soziale Arbeit etc.) erkennbar sind, fehlt die SOZIAL-Bedingung. Exclude mangels relevanter sozialer Dimension.",Abstract
2,I78CL6R5,Chiu et al. (2024),What are artificial intelligence literacy and competency? A comprehensive framework to support them,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Include,,Empirisch,0.88,"Das Paper entwickelt ein umfassendes AI-Literacy/Kompetenz-Framework für K-12 mittels Co-Design mit Lehrkräften. Es behandelt substantiell AI-Literacies (Kernthema), Generative KI (ChatGPT, Sora), Prompting (als notwendige Fähigkeit) und klassisches ML. Soziale Dimensionen: Fairness und Bias als Ethik-Kernkomponenten, inklusive/diverse Bildung explizit thematisiert. TECHNIK_OK und SOZIAL_OK → Include.",KD
3,VP6SXQHY,Benlian & Pinski (2025),The AI literacy development canvas: Assessing and building AI literacy in organizations,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Include,,Konzept,0.88,"Das Paper behandelt substantiell AI Literacy in Organisationen (multidimensionales Kompetenzmodell), erwähnt generative KI als Teil des Frameworks und klassische algorithmische Systeme. Bias in automatisierten Entscheidungen (Workday-Klage, algorithmische Diskriminierung) und Fairness (EU AI Act, faire KI-Systeme) sind explizit und substanziell adressiert. Prompting wird nur beiläufig erwähnt. Kein direkter Soziale-Arbeit-Bezug, aber TECHNIK und SOZIAL sind beide erfüllt → Include.",KD
4,AXEIVEW3,Lanzetta et al. (2024),Artificial Intelligence Competence Needs for Youth Workers,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Include,,Empirisch,0.97,"Das Paper behandelt substantiell KI-Kompetenzen (AI-Literacy-Framework für Jugendarbeiter:innen), generative KI (ChatGPT), Prompt Engineering sowie algorithmische Systeme. Der direkte Bezug zu Jugendarbeit als sozialarbeiterischer Praxis ist zentral. Bias, Gender-Unterschiede in KI-Nutzung, Diversität/Inklusion und Fairness werden ebenfalls substantiell behandelt. Alle Einschlusskriterien (Technik + Sozial) sind klar erfüllt.",KD
5,UFE85SCV,Casal-Otero et al. (2023),AI literacy in K-12: a systematic literature review,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Include,,Literaturreview,0.92,"Das Paper behandelt substantiell AI Literacy in K-12 (TECHNIK_OK) und adressiert Gender-Lücken, sozioökonomische Ungleichheit durch KI-Automatisierung sowie Inklusion marginalisierter Gruppen (SOZIAL_OK). Systematischer Review von 179 Dokumenten mit expliziter Diskussion von Gender-Perspektiven in AI-Curricula und unerwünschten sozialen Folgen. Kein feministischer Theorierahmen im engeren Sinne; keine direkte Soziale-Arbeit-Verbindung.",KD
6,J9IZDVTW,Biagini et al. (2024),"Less knowledge, more trust? Exploring potentially uncritical attitudes towards AI in higher education",Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Empirisch,0.82,"Das Paper fokussiert substantiell auf KI-Literalität (vier Dimensionen: kognitiv, operativ, kritisch, ethisch) bei Doktorand:innen – klares Ja für AI_Literacies. Jedoch wird keine der sozialen Kategorien substantiell behandelt: Kein direkter Soziale_Arbeit-Bezug, Fairness/Bias/Ungleichheit werden nur marginal als Bedenken erwähnt ohne tiefgehende Analyse, kein Gender/Diversität/Feministisch-Fokus. Die Bedingung SOZIAL_OK ist nicht erfüllt → Exclude.",KD
7,P82X89Q4,Chee et al. (2025),A Competency Framework for AI Literacy: Variations by Different Learner Groups and an Implied Learning Pathway,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Literaturreview,0.88,"Das Paper entwickelt einen AI-Literacy-Kompetenzrahmen für verschiedene Bildungsstufen – klares Ja für AI_Literacies. Die sozialen Kategorien (Bias, Gender, Diversität, Fairness, Soziale Arbeit, Feministisch) werden nicht substantiell behandelt. Erwähnungen von 'different learner groups' und gleichberechtigtem Zugang sind zu oberflächlich für eine Ja-Bewertung bei Diversität oder Fairness. TECHNIK_OK, aber SOZIAL nicht erfüllt → Exclude.",KD
8,KPSF8EZE,Chiu (2025),"AI literacy and competency: definitions, frameworks, development and future research directions",Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Include,,Konzept,0.88,"Das Paper behandelt substantiell AI Literacy und Competency als Kernthema (TECHNIK_OK: AI_Literacies, Generative_KI, Prompting, KI_Sonstige). Soziale Dimension ist gegeben durch explizite Behandlung von algorithmischem Bias, Fairness, Equity und Diversität in AI-Literacy-Frameworks (SOZIAL_OK). Kein direkter Soziale-Arbeit-Bezug, aber Bias/Ungleichheit und Fairness werden substantiell behandelt. Kein Gender-Fokus trotz Diversitätsdiskussion.",KD
9,XCS4YCQH,European Commission. Joint Research Centre. (2017),DigComp 2.1: the digital competence framework for citizens with eight proficiency levels and examples of use.,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Konzept,0.92,"DigComp 2.1 ist ein allgemeines Framework für digitale Kompetenzen von Bürgern, ohne spezifischen KI-Bezug. Es behandelt weder KI-Systeme, LLMs, algorithmische Entscheidungssysteme noch Prompt-Engineering. Die digitalen Kompetenzen beziehen sich auf allgemeine Technologienutzung, nicht auf KI-spezifische Literacies. Auch Soziale Arbeit, Bias oder Gender werden nicht substantiell behandelt. Die TECHNIK-Bedingung ist nicht erfüllt.",KD
10,SY8LNID7,Arias López et al. (2023),Digital literacy as a new determinant of health: A scoping review,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Exclude,Not_relevant_topic,Literaturreview,0.88,"Das Paper behandelt digitale Gesundheitskompetenz (eHealth Literacy) als soziale Determinante, nicht KI-Systeme oder algorithmische Technologien. Weder generative KI, klassisches ML, noch Prompt-Engineering sind Gegenstand. Die erwähnten digitalen Technologien (Wearables, Patientenportale) sind keine KI im relevanten Sinne. Trotz Relevanz für Bias/Ungleichheit und Diversität fehlt die technische KI-Komponente, weshalb TECHNIK_OK nicht erfüllt ist → Exclude.",KD
11,43CRXRRT,Tinmaz et al. (2022),A systematic review on digital literacy,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Literaturreview,0.9,"Das Paper behandelt digitale Kompetenz/Literacy allgemein (nicht spezifisch KI-Literacies). KI wird nur marginal als Teil von Industry 4.0 erwähnt, ohne substantiellen Fokus. Weder Generative KI, Prompting noch klassisches ML sind Thema. Die Digital-Divide-Diskussion ist nicht spezifisch genug für Bias_Ungleichheit im KI-Kontext. Kein Bezug zu Sozialer Arbeit, Gender, Diversität, feministischer Theorie oder Fairness-Metriken. Beide Bedingungen (TECHNIK und SOZIAL) sind nicht erfüllt.",KD
12,HTXCWNQ9,Peng et al. (2022),A Literature Review of Digital Literacy over Two Decades,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Exclude,Not_relevant_topic,Literaturreview,0.92,"Das Paper behandelt digitale Literalität (ICT-Skills, Online-Kompetenz), nicht KI-spezifische Themen. Es gibt keinen Bezug zu KI-Systemen, Machine Learning, generativer KI oder Algorithmen. Die sozialen Dimensionen (digitale Ungleichheit, Gender, Diversität) sind zwar vorhanden, aber ohne technische KI-Komponente erfüllt das Paper das Einschlusskriterium (TECHNIK_OK) nicht. Ausschluss mangels KI-Relevanz.",KD
13,7G78SADI,Pinski & Benlian (2024),"AI literacy for users – A comprehensive review and future research directions of learning methods, components, and effects",Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Include,,Literaturreview,0.9,"Das Paper behandelt AI Literacy als zentrales Thema (AI_Literacies substantiell), bezieht sich auf generative KI wie ChatGPT sowie klassische ML/DL-Systeme. Bias, Fairness und ethische Implikationen werden explizit als Kernkomponenten von AI Literacy behandelt. Diversität verschiedener Nutzergruppen (Manager, Lehrer, Ärzte, Kinder) wird systematisch analysiert. Gender-Bias wird nur peripher erwähnt (ein Referenzbeispiel), nicht substantiell behandelt. Soziale Arbeit wird nicht direkt adressiert.",KD
14,3AQ2K3BX,Ng et al. (2021),Conceptualizing AI literacy: An exploratory review,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Literaturreview,0.75,"Das Paper behandelt AI Literacy als konzeptionellen Rahmen (TECHNIK_OK). Jedoch zeigt der Titel und das bekannte Paper von Ng et al. (2021) keinen substantiellen Bezug zu sozialen Kategorien wie Soziale_Arbeit, Bias, Gender, Diversität, Feminismus oder Fairness. Es handelt sich um ein konzeptionelles Framework-Paper zu AI-Kompetenzen ohne spezifischen sozialen Bezug. SOZIAL nicht erfüllt → Exclude.",Abstract
15,7VFNS5R3,Kong et al. (2021),Evaluation of an artificial intelligence literacy course for university students with diverse study backgrounds,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Include,,Empirisch,0.88,"Das Paper behandelt substantiell AI Literacy (Framework mit drei Komponenten, Kursevaluation) und klassisches ML (Machine Learning, Supervised/Unsupervised Learning). Gender wird substantiell thematisiert: geschlechtsspezifische Unterschiede in Selbstwirksamkeit vor/nach dem Kurs werden analysiert. Diversität ist zentral: Studierende verschiedener Disziplinen und Hintergründe als Zielgruppe. TECHNIK_OK (AI_Literacies + KI_Sonstige) und SOZIAL_OK (Gender + Diversitaet) → Include.",KD
16,23Y3627L,Wang et al. (2023),Measuring user competence in using artificial intelligence: validity and reliability of artificial intelligence literacy scale,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Exclude,Not_relevant_topic,Empirisch,0.9,"Das Paper entwickelt eine valide Skala zur Messung von KI-Kompetenz (AI Literacy) – technische Kategorie klar erfüllt. Jedoch fehlt jeglicher Bezug zu sozialen Kategorien: keine Soziale Arbeit, kein Bias/Ungleichheit, kein Gender, keine Diversität, keine feministischen Perspektiven, keine Fairness-Metriken. Es handelt sich um reine psychometrische Skalenkonstruktion ohne sozialen Kontext. TECHNIK_OK, aber SOZIAL nicht erfüllt → Exclude.",KD
