record_id,type,historical_rows
6JAZXKEB,unmapped_human_record,"[{""ID"": ""167"", ""Zotero_Key"": ""6JAZXKEB"", ""Author_Year"": ""Ng (2022)"", ""Title"": ""Using digital story writing as a pedagogy to develop AI literacy among primary students"", ""DOI"": ""10.1016/j.caeai.2022.100054"", ""Item_Type"": ""journalArticle"", ""Publication_Year"": ""2022"", ""Language"": ""en"", ""Source_Tool"": ""Manual"", ""Abstract"": ""Artificial intelligence (AI) literacy is widely recognized as a new set of competencies that people use AI effectively and ethically in everyday life. In K-12 education, educators have started to employ different pedagogical strategies to foster students' AI literacy. Using digital story writing (DSW) in the classroom is an effective inquiry-based pedagogical approach to address literacy development by improving language and technological abilities across disciplines. This study recruited 82 primary students in Hong Kong to attend a three-month DSW journey to learn AI and completed a knowledge test at the end of the program. Among the students, 16 best-achieving students were further invited to participate in artefact-based interviews, and we further analysed their work to understand how they formulate AI understandings. It is found that the participating students were able to propose an authentic scenario, apply their new knowledge of AI and think up meaningful AI-driven solutions in their digital stories. Furthermore, we examined students' DSW process in terms of inquiry-based pedagogical cycle (orientation, conceptualization, investigation, conclusion, discussion) to demonstrate how they learn AI. Overall, DSW as an inquiry could effectively foster students' AI literacy in using and applying AI knowledge to solve real-life problems, far beyond merely knowing and understanding related concepts. We suggest that using DSW as a pedagogy has the potential to support students to scaffold students’ AI understanding, particularly for young children."", ""URL"": ""https://linkinghub.elsevier.com/retrieve/pii/S2666920X22000091"", ""AI_Literacies"": ""Ja"", ""Generative_KI"": ""Ja"", ""Prompting"": ""Nein"", ""KI_Sonstige"": ""Ja"", ""Soziale_Arbeit"": ""Nein"", ""Bias_Ungleichheit"": ""Ja"", ""Gender"": ""Ja"", ""Diversitaet / Intersektionalität"": ""Ja"", ""Feministisch"": ""Nein"", ""Fairness"": ""Ja"", ""Studientyp"": ""Konzept"", ""Decision"": ""Include"", ""Exclusion_Reason"": """", ""Notes"": """"}]"
7WMD5JQ6,unmapped_human_record,"[{""ID"": ""157"", ""Zotero_Key"": ""7WMD5JQ6"", ""Author_Year"": ""Maeda (2025)"", ""Title"": ""Toward Agency‐Centered <span style=\""font-variant:small-caps;\"">AI</span> Literacy: A Scoping Review"", ""DOI"": ""10.1002/pra2.1472"", ""Item_Type"": ""journalArticle"", ""Publication_Year"": ""2025"", ""Language"": ""en"", ""Source_Tool"": ""Manual"", ""Abstract"": ""ABSTRACT Digital literacy is well‐studied across disciplines, with established attention to core competencies and social inequalities. However, artificial intelligence (AI) literacy remains underexplored. To address this gap, we conducted a scoping review on AI literacy to: (1) consolidate current definitions and pinpoint conceptual gaps, (2) evaluate methodological approaches and their relevance in practice, and (3) examine how social inequalities are considered in AI literacy studies. Definitions of AI literacy are inconsistent across and within disciplines, and most studies do not consider social factors. Most definitions focus on knowledge and skill acquisition, framing AI literacy as a suite of acquired competencies. We argue that current understandings of AI literacy need to expand to include informed decision‐making, critical engagement, and resistance to technological coercion by taking an agency‐driven approach. These insights can guide researchers, educators, and policymakers in fostering an agency‐centered AI literacy that empowers individuals in an increasingly AI‐mediated world."", ""URL"": ""https://asistdl.onlinelibrary.wiley.com/doi/10.1002/pra2.1472"", ""AI_Literacies"": ""Ja"", ""Generative_KI"": ""Nein"", ""Prompting"": ""Nein"", ""KI_Sonstige"": ""Ja"", ""Soziale_Arbeit"": ""Nein"", ""Bias_Ungleichheit"": ""Ja"", ""Gender"": ""Nein"", ""Diversitaet / Intersektionalität"": ""Nein"", ""Feministisch"": ""Nein"", ""Fairness"": ""Nein"", ""Studientyp"": ""Literaturreview"", ""Decision"": ""Include"", ""Exclusion_Reason"": """", ""Notes"": ""aber nur am Rande wichtig""}]"
9MDIBETZ,unmapped_human_record,"[{""ID"": ""244"", ""Zotero_Key"": ""9MDIBETZ"", ""Author_Year"": ""Tang (2024)"", ""Title"": ""GenderCARE: A Comprehensive Framework for Assessing and Reducing Gender Bias in Large Language Models"", ""DOI"": ""10.1145/3658644.3670284"", ""Item_Type"": ""conferencePaper"", ""Publication_Year"": ""2024"", ""Language"": ""en"", ""Source_Tool"": ""Manual"", ""Abstract"": ""Large language models (LLMs) have exhibited remarkable capabilities in natural language generation, but they have also been observed to magnify societal biases, particularly those related to gender. In response to this issue, several benchmarks have been proposed to assess gender bias in LLMs. However, these benchmarks often lack practical flexibility or inadvertently introduce biases. To address these shortcomings, we introduce GenderCARE, a comprehensive framework that encompasses innovative Criteria, bias Assessment, Reduction techniques, and Evaluation metrics for quantifying and mitigating gender bias in LLMs. To begin, we establish pioneering criteria for gender equality benchmarks, spanning dimensions such as inclusivity, diversity, explainability, objectivity, robustness, and realisticity. Guided by these criteria, we construct GenderPair, a novel pair-based benchmark designed to assess gender bias in LLMs comprehensively. Our benchmark provides standardized and realistic evaluations, including previously overlooked gender groups such as transgender and non-binary individuals. Furthermore, we develop effective debiasing techniques that incorporate counterfactual data augmentation and specialized fine-tuning strategies to reduce gender bias in LLMs without compromising their overall performance. Extensive experiments demonstrate a significant reduction in various gender bias benchmarks, with reductions peaking at over 90% and averaging above 35% across 17 different LLMs. Importantly, these reductions come with minimal variability in mainstream language tasks, remaining below 2%. By offering a realistic assessment and tailored reduction of gender biases, we hope that our GenderCARE can represent a significant step towards achieving fairness and equity in LLMs."", ""URL"": ""https://dl.acm.org/doi/10.1145/3658644.3670284"", ""AI_Literacies"": ""Nein"", ""Generative_KI"": ""Ja"", ""Prompting"": ""Ja"", ""KI_Sonstige"": ""Nein"", ""Soziale_Arbeit"": ""Nein"", ""Bias_Ungleichheit"": ""Ja"", ""Gender"": ""Ja"", ""Diversitaet / Intersektionalität"": ""Ja"", ""Feministisch"": ""Ja"", ""Fairness"": ""Ja"", ""Studientyp"": ""Konzept"", ""Decision"": ""Include"", ""Exclusion_Reason"": """", ""Notes"": """"}]"
CLADZZKS,unmapped_human_record,"[{""ID"": ""164"", ""Zotero_Key"": ""CLADZZKS"", ""Author_Year"": ""Ng (2021)"", ""Title"": ""Conceptualizing AI literacy: An exploratory review"", ""DOI"": ""10.1016/j.caeai.2021.100041"", ""Item_Type"": ""journalArticle"", ""Publication_Year"": ""2021"", ""Language"": ""en"", ""Source_Tool"": ""Manual"", ""Abstract"": ""Highlights • Research on AI literacy has not been widely published in educational journals. • An exploratory review was conducted to conceptualize the newly emerging concept “AI literacy” to define, teach and evaluate AI literacy. • This review proposed four aspects (i.e., know and understand, use, evaluate and ethical issues) for fostering AI literacy based on the adaptation of classic literacies. Abstract Artificial Intelligence (AI) has spread across industries (e.g., business, science, art, education) to enhance user experience, improve work efficiency, and create many future job opportunities. However, public understanding of AI technologies and how to define AI literacy is under-explored. This vision poses upcoming challenges for our next generation to learn about AI. On this note, an exploratory review was conducted to conceptualize the newly emerging concept “AI literacy”, in search for a sound theoretical foundation to define, teach and evaluate AI literacy. Grounded in literature on 30 existing peer-reviewed articles, this review proposed four aspects (i.e., know and understand, use and apply, evaluate and create, and ethical issues) for fostering AI literacy based on the adaptation of classic literacies. This study sheds light on the consolidated definition, teaching, and ethical concerns on AI literacy, establishing the groundwork for future research such as competency development and assessment criteria on AI literacy."", ""URL"": ""https://linkinghub.elsevier.com/retrieve/pii/S2666920X21000357"", ""AI_Literacies"": ""Ja"", ""Generative_KI"": ""Ja"", ""Prompting"": ""Nein"", ""KI_Sonstige"": ""Ja"", ""Soziale_Arbeit"": ""Nein"", ""Bias_Ungleichheit"": ""Ja"", ""Gender"": ""Ja"", ""Diversitaet / Intersektionalität"": ""Ja"", ""Feministisch"": ""Nein"", ""Fairness"": ""Ja"", ""Studientyp"": ""Konzept"", ""Decision"": ""Include"", ""Exclusion_Reason"": """", ""Notes"": ""ja, schon""}]"
DZ39L7GC,unmapped_human_record,"[{""ID"": ""125"", ""Zotero_Key"": ""DZ39L7GC"", ""Author_Year"": ""Kim (2021)"", ""Title"": ""Why and What to Teach: AI Curriculum for Elementary School"", ""DOI"": ""10.1609/aaai.v35i17.17833"", ""Item_Type"": ""journalArticle"", ""Publication_Year"": ""2021"", ""Language"": """", ""Source_Tool"": ""Manual"", ""Abstract"": ""With the rapid technological change of society with Artificial Intelligence, elementary schools' goal should be to prepare the next generations according to competencies. We propose an AI curriculum to cultivate students' AI literacy to answer the question of ‘why and what to teach’ on AI. The proposed AI curriculum focuses on achieving AI literacy based on three competencies: AI Knowledge, AI Skill, and AI Attitude. We anticipate that the proposed curriculum will equip students with core competencies for the future with AI."", ""URL"": ""https://ojs.aaai.org/index.php/AAAI/article/view/17833"", ""AI_Literacies"": ""Ja"", ""Generative_KI"": ""Nein"", ""Prompting"": ""Nein"", ""KI_Sonstige"": ""Ja"", ""Soziale_Arbeit"": ""Nein"", ""Bias_Ungleichheit"": ""Ja"", ""Gender"": ""Ja"", ""Diversitaet / Intersektionalität"": ""Nein"", ""Feministisch"": ""Nein"", ""Fairness"": ""Nein"", ""Studientyp"": ""Konzept"", ""Decision"": ""Include"", ""Exclusion_Reason"": """", ""Notes"": ""AI Curriculum mit Bias/Gender""}]"
E35KJFXB,unmapped_human_record,"[{""ID"": ""265"", ""Zotero_Key"": ""E35KJFXB"", ""Author_Year"": ""Unknown ()"", ""Title"": """", ""DOI"": """", ""Item_Type"": ""journalArticle"", ""Publication_Year"": """", ""Language"": """", ""Source_Tool"": ""Manual"", ""Abstract"": """", ""URL"": """", ""AI_Literacies"": """", ""Generative_KI"": """", ""Prompting"": """", ""KI_Sonstige"": """", ""Soziale_Arbeit"": """", ""Bias_Ungleichheit"": """", ""Gender"": """", ""Diversitaet / Intersektionalität"": """", ""Feministisch"": """", ""Fairness"": """", ""Studientyp"": """", ""Decision"": ""Exclude"", ""Exclusion_Reason"": ""No full text"", ""Notes"": """"}]"
H8WRNPP7,unmapped_human_record,"[{""ID"": ""186"", ""Zotero_Key"": ""H8WRNPP7"", ""Author_Year"": ""Pinski (2024)"", ""Title"": ""AI Literacy for the top management: An upper echelons perspective on corporate AI orientation and implementation ability"", ""DOI"": ""10.1007/s12525-024-00707-1"", ""Item_Type"": ""journalArticle"", ""Publication_Year"": ""2024"", ""Language"": ""en"", ""Source_Tool"": ""Manual"", ""Abstract"": ""Abstract We draw on upper echelons theory to examine whether the AI literacy of a firm’s top management team (i.e., TMT AI literacy) has an effect on two firm characteristics paramount for value generation with AI—a firm’s AI orientation, enabling it to identify AI value potentials, and a firm’s AI implementation ability, empowering it to realize these value potentials. Building on the notion that TMT effects are contingent upon firm contexts, we consider the moderating influence of a firm’s type (i.e., startups vs. incumbents). To investigate these relationships, we leverage observational literacy data of 6986 executives from a professional social network (LinkedIn.com) and firm data from 10-K statements. Our findings indicate that TMT AI literacy positively affects AI orientation as well as AI implementation ability and that AI orientation mediates the effect of TMT AI literacy on AI implementation ability. Further, we show that the effect of TMT AI literacy on AI implementation ability is stronger in startups than in incumbent firms. We contribute to upper echelons literature by introducing AI literacy as a skill-oriented perspective on TMTs, which complements prior role-oriented TMT research, and by detailing AI literacy’s role for the upper echelons-based mechanism that explains value generation with AI."", ""URL"": ""https://link.springer.com/10.1007/s12525-024-00707-1"", ""AI_Literacies"": ""Ja"", ""Generative_KI"": ""Nein"", ""Prompting"": ""Nein"", ""KI_Sonstige"": ""Ja"", ""Soziale_Arbeit"": ""Nein"", ""Bias_Ungleichheit"": ""Nein"", ""Gender"": ""Nein"", ""Diversitaet / Intersektionalität"": ""Nein"", ""Feministisch"": ""Nein"", ""Fairness"": ""Nein"", ""Studientyp"": """", ""Decision"": ""Exclude"", ""Exclusion_Reason"": """", ""Notes"": ""AI Literacy im Management-Kontext ""}]"
JJLSMEQA,unmapped_human_record,"[{""ID"": ""168"", ""Zotero_Key"": ""JJLSMEQA"", ""Author_Year"": ""Ng (2025)"", ""Title"": ""Opportunities, challenges and school strategies for integrating generative AI in education"", ""DOI"": ""10.1016/j.caeai.2025.100373"", ""Item_Type"": ""journalArticle"", ""Publication_Year"": ""2025"", ""Language"": ""en"", ""Source_Tool"": ""Manual"", ""Abstract"": ""The increasing accessibility of Generative Artificial Intelligence (GenAI) tools has led to their exploration and adoption in education. This qualitative study investigates the opportunities and challenges associated with integrating GenAI in education, and the strategies that encourage teachers and students to embrace GenAI in school settings. We recruited 76 educators in Canada to participate in a professional training seminar about GenAI and expressed their views through online surveys. Through written reflections, an optimistic outlook on GenAI's role in education was identified among the teachers, and some discipline-specific ideas were proposed. Thematic analysis reveals three key practices of AI implementation: teaching/learning, administration and assessments. However, three major challenges are also identified: school's readiness, teachers' AI competencies, and students' AI literacy and ethics. Teachers suggest several strategies to motivate GenAI integration, including professional development, clear guidelines, and access to AI software and technical support. Finally, Singh's Teach AI Global Initiative Guidance and Socio-ecological Model are adapted and proposed to support schools in becoming AI-ready by addressing teachers' and students' needs, facilitating organizational learning, and promoting improvement and transformation to foster their literacy development. Recommendations were provided for developing effective strategies to embrace GenAI in education."", ""URL"": ""https://linkinghub.elsevier.com/retrieve/pii/S2666920X2500013X"", ""AI_Literacies"": ""Ja"", ""Generative_KI"": ""Ja"", ""Prompting"": ""Ja"", ""KI_Sonstige"": ""Nein"", ""Soziale_Arbeit"": ""Nein"", ""Bias_Ungleichheit"": ""Ja"", ""Gender"": ""Nein"", ""Diversitaet / Intersektionalität"": ""Nein"", ""Feministisch"": ""Nein"", ""Fairness"": ""Nein"", ""Studientyp"": ""Empirisch"", ""Decision"": ""Include"", ""Exclusion_Reason"": """", ""Notes"": """"}]"
MQJEES7J,unmapped_human_record,"[{""ID"": ""176"", ""Zotero_Key"": ""MQJEES7J"", ""Author_Year"": ""Pan (2025)"", ""Title"": ""AI literacy and trust: A multi-method study of Human-GAI team collaboration"", ""DOI"": ""10.1016/j.chbah.2025.100162"", ""Item_Type"": ""journalArticle"", ""Publication_Year"": ""2025"", ""Language"": ""en"", ""Source_Tool"": ""Manual"", ""Abstract"": ""As artificial intelligence (AI) becomes increasingly integrated into team settings for collaboration with humans, understanding the dynamics of trust and AI literacy is essential for enhancing team effectiveness. This study investigates the relationship between trust and AI literacy in human-generative AI (GAI) team collaboration, focusing on how AI literacy affects trust formation in these interactions. Drawing upon foundational teamwork literature and AI literacy frameworks, we conducted a multi-method investigation involving 116 undergraduate team members across 23 project teams throughout a semester. In Study 1, qualitative findings revealed distinct attitudes toward GAI as a teammate, categorized as trust, distrust, and ambivalence. Study 2 employed quantitative methods to determine predictors of trust in GAI, demonstrating that AI knowledge and perceived value—key components of AI literacy—significantly influenced perceptions of trust. Notably, perceptions of GAI accuracy emerged as a critical determinant of trust. Our findings highlight the complex interplay between AI literacy and trust in human-GAI collaboration. We observed a paradox: increased AI literacy can enhance collaboration but may also lead to hesitancy in future AI use. We contribute to advancing the understanding of human-AI collaboration by highlighting the critical role of AI literacy in shaping trust and socio-technical team dynamics. Our study provides evidence demonstrating the importance of targeted AI literacy development in building trust and fostering effective collaboration in human-GAI teams. These findings provide a foundation for research aimed at optimizing human-GAI teamwork and developing adaptive AI literacy frameworks, empowering individuals to effectively engage with AI across diverse collaborative settings."", ""URL"": ""https://linkinghub.elsevier.com/retrieve/pii/S2949882125000465"", ""AI_Literacies"": ""Ja"", ""Generative_KI"": ""Ja"", ""Prompting"": ""Ja"", ""KI_Sonstige"": ""Nein"", ""Soziale_Arbeit"": ""Nein"", ""Bias_Ungleichheit"": ""Ja"", ""Gender"": ""Nein"", ""Diversitaet / Intersektionalität"": ""Nein"", ""Feministisch"": ""Nein"", ""Fairness"": ""Ja"", ""Studientyp"": ""Empirisch"", ""Decision"": ""Include"", ""Exclusion_Reason"": """", ""Notes"": """"}]"
R2LPR3VD,unmapped_human_record,"[{""ID"": ""287"", ""Zotero_Key"": ""R2LPR3VD"", ""Author_Year"": ""Wong (2020)"", ""Title"": ""Broadening artificial intelligence education in K-12: where to start?"", ""DOI"": ""10.1145/3381884"", ""Item_Type"": ""journalArticle"", ""Publication_Year"": ""2020"", ""Language"": ""en"", ""Source_Tool"": ""Manual"", ""Abstract"": ""Having moved through the eras of steam and hydropower, electricity and assembly lines, and then computerization, the world has now entered a new era, dubbed the Fourth Industrial Revolution, with the adoption of cyber-physical systems, the Internet of Things and the Internet of Systems implemented as intelligent machines. The implications of this new era for the education of current and future generations are now a focus of discussion. As artificial intelligence (AI), branching from computer science (CS), becomes ubiquitous and seamless behind the scenes of our daily lives, many countries are dedicating significant resources to fueling research on this continually developing technology. The renewed interest in AI has sparked discussion of the importance of teaching AI knowledge, concepts, and computational skills to young people, including whether we should begin considering how to introduce AI at K-12 level through CS education. This article aims to reshape the concepts of AI with reference to the historical development of the computing industry and CS education, and uncover a new direction for AI education in K-12 around the globe."", ""URL"": ""https://infoscience.epfl.ch/server/api/core/bitstreams/b8587e31-76a2-4e02-870c-d431d8384250/content"", ""AI_Literacies"": ""Ja"", ""Generative_KI"": ""Nein"", ""Prompting"": ""Nein"", ""KI_Sonstige"": ""Ja"", ""Soziale_Arbeit"": ""Nein"", ""Bias_Ungleichheit"": ""Nein"", ""Gender"": ""Nein"", ""Diversitaet / Intersektionalität"": ""Nein"", ""Feministisch"": ""Nein"", ""Fairness"": ""Nein"", ""Studientyp"": ""Konzept"", ""Decision"": ""Exclude"", ""Exclusion_Reason"": """", ""Notes"": """"}]"
