paper_id,title,author_year,has_human,has_agent,human_AI_Literacies,agent_AI_Literacies,agree_AI_Literacies,human_Generative_KI,agent_Generative_KI,agree_Generative_KI,human_Prompting,agent_Prompting,agree_Prompting,human_KI_Sonstige,agent_KI_Sonstige,agree_KI_Sonstige,human_Soziale_Arbeit,agent_Soziale_Arbeit,agree_Soziale_Arbeit,human_Bias_Ungleichheit,agent_Bias_Ungleichheit,agree_Bias_Ungleichheit,human_Gender,agent_Gender,agree_Gender,human_Diversitaet,agent_Diversitaet,agree_Diversitaet,human_Feministisch,agent_Feministisch,agree_Feministisch,human_Fairness,agent_Fairness,agree_Fairness,human_decision,agent_decision,agree_decision,human_exclusion_reason,agent_exclusion_reason,human_studientyp,agent_studientyp,agent_confidence,agent_reasoning,category_agreements,category_total,category_agreement_rate
22KJL3PC,The cultural stereotype and cultural bias of ChatGPT,Yuan (2025),Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Include,Include,Ja,,,Experimentell,Empirisch,0.95,"Das Paper untersucht kulturelle Stereotypen und Biases in ChatGPT-3.5 und GPT-4 (Generative_KI) mit substantiellem Fokus auf Prompting-Strategien zur Bias-Reduktion. Es behandelt Bias_Ungleichheit durch kulturelle Stereotypen, Diversitaet durch kultursensitive Prompts, und Fairness durch algorithmische Fairness-Metriken. Beide Bedingungen (TECHNIK und SOZIAL) sind erfüllt.",9,10,90.00%
22XEFRWP,Prejudiced interactions with large language models (LLMs) reduce trustworthiness and behavioral intentions among members of stigmatized groups,Petzel (2025),Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Include,Include,Ja,,,Experimentell,Empirisch,0.92,"Das Paper untersucht experimentell, wie vorurteilsbehaftete LLM-Antworten das Vertrauen und die Nutzungsbereitschaft bei Mitgliedern marginalisierter Gruppen beeinflussen. Generative KI (LLMs) ist das zentrale technische Element; Bias/Ungleichheit und Diversität sind substantielle soziale Dimensionen durch den Fokus auf stigmatisierte Gruppen und Diskriminierung durch KI-Systeme.",8,10,80.00%
23Y3627L,Measuring user competence in using artificial intelligence: validity and reliability of artificial intelligence literacy scale,Wang (2023),Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Exclude,Exclude,Ja,Not relevant topic,Not_relevant_topic,Empirisch,Empirisch,0.7,"Das Paper entwickelt und validiert eine Skala zur Messung von KI-Kompetenz (AI Literacy), was klar unter AI_Literacies fällt. Es fehlt jedoch ein sozialer Bezug (Soziale Arbeit, Bias, Gender, Diversität, Fairness, Feministisch). Ohne SOZIAL-Kriterium ist kein Include möglich. Technisch erfüllt, sozial nicht.",9,10,90.00%
2565PPJW,Feminist reflections for the development of artificial intelligence,Guerra (2023),Ja,Ja,,Nein,,,Nein,,,Nein,,,Ja,,,Nein,,,Ja,,,Ja,,,Ja,,,Ja,,,Ja,,Exclude,Include,Nein,Duplicate,,,Theoretisch,0.9,"Das Paper behandelt KI-Entwicklung unter feministischen Frameworks explizit, mit Bezug auf intersektionale Teams, Gender-Perspektive in Data-Science-Projekten und feministische KI-Prinzipien. TECHNIK_OK durch KI_Sonstige (KI-Entwicklung, Data Science). SOZIAL_OK durch Feministisch (explizite feministische Theorie/Methodik), Gender, Bias_Ungleichheit, Diversität und Fairness. Beide Bedingungen erfüllt → Include.",0,0,
25XSMXKT,Prompt engineering techniques for mitigating cultural bias against Arabs and Muslims in large language models: A systematic review,Asseri (2024),Ja,Ja,,Nein,,,Ja,,,Ja,,,Nein,,,Nein,,,Ja,,,Nein,,,Ja,,,Nein,,,Ja,,Exclude,Include,Nein,Duplicate,,,Literaturreview,0.98,"Das Paper erfüllt beide Einschlusskriterien klar: TECHNIK durch substantiellen Fokus auf Prompt-Engineering-Techniken und LLMs (Generative KI); SOZIAL durch die Analyse von kulturellem Bias gegen Araber und Muslime (Bias_Ungleichheit), Diversität/Repräsentation sowie algorithmische Fairness. Systematischer Review nach PRISMA mit direktem Bezug zu Debiasing-Strategien für marginalisierte Gruppen.",0,0,
2EBHMYU4,Intersectionality in Artificial Intelligence: Framing Concerns and Recommendations for Action,Ulnicane (2024),Nein,Ja,,Nein,,,Nein,,,Nein,,,Ja,,,Nein,,,Ja,,,Ja,,,Ja,,,Ja,,,Ja,,,Include,,,,,Theoretisch,0.92,"Das Paper analysiert algorithmische KI-Systeme (KI_Sonstige) im Kontext von Intersektionalität (explizit auf Crenshaw-Tradition verweisend → Feministisch). Es behandelt substantiell Bias/Diskriminierung, Gender (weiße Männer in AI-Entwicklung), Diversität in AI-Teams und Fairness-Fragen. Vier Policy-Berichte werden analysiert, was auf eine theoretisch-analytische Dokumentenanalyse hindeutet. TECHNIK_OK und SOZIAL_OK sind beide erfüllt.",0,0,
2FUXNFZS,"RETHINKING SOCIAL SERVICES WITH ARTIFICIAL INTELLIGENCE: OPPORTUNITIES, RISKS, AND FUTURE PERSPECTIVES",Unknown (2024),Ja,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Exclude,Include,Nein,Not relevant topic,,Theoretisch,Theoretisch,0.92,"Das Paper behandelt substantiell den Einsatz von KI (Predictive Modeling, algorithmische Systeme) in der Sozialen Arbeit und thematisiert algorithmischen Bias sowie Fairness/soziale Gerechtigkeit. Es adressiert außerdem AI Literacy für Sozialarbeiter:innen im Kontext ethischer KI-Nutzung. Alle Bedingungen für Include sind erfüllt: TECHNIK (KI_Sonstige, AI_Literacies) und SOZIAL (Soziale_Arbeit, Bias_Ungleichheit, Fairness).",6,10,60.00%
2MVSL3UV,Learning About AI: A Systematic Review of Reviews on AI Literacy,Zhang (2025),Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Exclude,Exclude,Ja,,Not_relevant_topic,Literaturreview,Literaturreview,0.9,"Das Paper behandelt substantiell AI Literacy und deren Lehre/Lernen (TECHNIK_OK). Jedoch fehlt jede soziale Dimension: kein Bezug zu Sozialer Arbeit, kein Bias/Ungleichheits-Fokus, kein Gender, keine Diversität, kein feministischer Ansatz, keine Fairness-Thematik. Der Fokus liegt rein auf Bildung/Pädagogik für AI Literacy ohne soziale Gerechtigkeitsdimension. SOZIAL_OK ist nicht erfüllt → Exclude.",9,10,90.00%
2SLISKSW,Avoiding catastrophe through intersectionality in global AI governance,McCrory (2024),Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Include,Include,Ja,,,Theoretisch,Theoretisch,0.92,"Das Paper analysiert globale KI-Governance-Initiativen (KI_Sonstige) aus explizit feministisch-intersektionaler Perspektive (Feministisch, Gender). Es thematisiert substantiell algorithmischen Bias und ungleiche Verteilung von KI-Schäden entlang Gender, Race und Klasse (Bias_Ungleichheit, Diversitaet) sowie Fairness in KI-Policies. TECHNIK_OK (KI_Sonstige) und SOZIAL_OK (multiple Kategorien) sind erfüllt → Include.",8,10,80.00%
2SNYUZG4,Promises and challenges of generative artificial intelligence for human learning,Yan (2024),Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Include,Exclude,Nein,,Not_relevant_topic,Konzept,Unclear,0.5,"Das Paper behandelt generative KI im Kontext menschlichen Lernens (Bildungsbereich). Obwohl AI_Literacies und Generative_KI bejaht werden, fehlt ein soziales Kriterium (kein Bezug zu Sozialer Arbeit, Bias, Gender, Diversität, Feminismus oder Fairness). Ohne Abstract ist die Bewertung unsicher, aber der Titel deutet auf allgemeine Bildungsforschung ohne spezifischen sozialen Fokus hin. TECHNIK_OK, aber SOZIAL nicht erfüllt.",9,10,90.00%
