candidate_id,title,doi,selected_version_date,source_lanes,zotero_status,canonical_bindings,canonical_binding_evidence,canonical_binding_candidates,observed_live_zotero_record_ids,live_zotero_membership_observed,source_readiness,recorded_source_ready,source_hash_matches,screening_markdown_file,screening_status,conflicts_or_constraints,pending_zotero_corrections,next_actions
codex-websearch-2026:arxiv:2505.13995,Sycophantic AI decreases prosocial intentions and promotes dependence,10.1126/science.aec8352,2026-03-26,"[""C""]",import_ready,"[{""record_id"": ""DZ5EAPXR"", ""work_id"": ""work:e56cb050-aad5-5a20-8994-ac450ec25bc0"", ""version_id"": ""version:39bcf800-7995-56e3-b029-3faa4b943087""}]","[{""work_id"": ""work:e56cb050-aad5-5a20-8994-ac450ec25bc0"", ""version_id"": ""version:39bcf800-7995-56e3-b029-3faa4b943087"", ""evidence_tokens"": [""doi:10.1126/science.aec8352"", ""url:https://doi.org/10.1126/science.aec8352""], ""record_ids"": [""DZ5EAPXR""]}]","[{""work_id"": ""work:e56cb050-aad5-5a20-8994-ac450ec25bc0"", ""version_id"": ""version:39bcf800-7995-56e3-b029-3faa4b943087"", ""evidence_tokens"": [""doi:10.1126/science.aec8352"", ""url:https://doi.org/10.1126/science.aec8352""], ""record_ids"": [""DZ5EAPXR""]}]","[""DZ5EAPXR""]",True,agent_qc_approved_after_repair,True,True,generated/source-acquisition/codex-websearch-2026/markdown-repaired/96199ea06371c4cdbed4.md,identified_not_screened,"[""source_uses_alternative_publication_version""]",[],"[""curate_exact_source_version_and_document_preferred_version_exception"", ""perform_governed_screening_and_record_AI_review_provenance""]"
codex-websearch-2026:arxiv:2510.00232,BiasFreeBench: a Benchmark for Mitigating Bias in Large Language Model Responses,,2026-04-23,"[""C""]",import_ready,"[{""record_id"": ""TFMETSCH"", ""work_id"": ""work:acf1ac10-2b58-5eab-b1ff-5a139ee5afce"", ""version_id"": ""version:766d4fbd-f251-567f-a0f9-d1dced745cb4""}]","[{""work_id"": ""work:acf1ac10-2b58-5eab-b1ff-5a139ee5afce"", ""version_id"": ""version:766d4fbd-f251-567f-a0f9-d1dced745cb4"", ""evidence_tokens"": [""url:https://proceedings.iclr.cc/paper_files/paper/2026/hash/71c3451f6cd6a4f82bb822db25cea4fd-abstract-conference.html""], ""record_ids"": [""TFMETSCH""]}]","[{""work_id"": ""work:acf1ac10-2b58-5eab-b1ff-5a139ee5afce"", ""version_id"": ""version:766d4fbd-f251-567f-a0f9-d1dced745cb4"", ""evidence_tokens"": [""url:https://proceedings.iclr.cc/paper_files/paper/2026/hash/71c3451f6cd6a4f82bb822db25cea4fd-abstract-conference.html""], ""record_ids"": [""TFMETSCH""]}]","[""TFMETSCH""]",True,agent_qc_approved,True,True,generated/source-acquisition/codex-websearch-2026/markdown-clean/febcd242f416adc86eb1.md,identified_not_screened,"[""source_uses_alternative_publication_version""]",[],"[""curate_exact_source_version_and_document_preferred_version_exception"", ""perform_governed_screening_and_record_AI_review_provenance""]"
codex-websearch-2026:doi:10.1007/978-3-032-27336-9_4,The Role of Generative AI in Transforming Social Work Practice,10.1007/978-3-032-27336-9_4,2026-07-14,"[""A""]",import_ready,"[{""record_id"": ""6N9ANHXA"", ""work_id"": ""work:8c24bcba-b32b-52ce-961a-18b40cd0a22e"", ""version_id"": ""version:20768b9f-d2d8-513a-aacd-989458319fbb""}]","[{""work_id"": ""work:8c24bcba-b32b-52ce-961a-18b40cd0a22e"", ""version_id"": ""version:20768b9f-d2d8-513a-aacd-989458319fbb"", ""evidence_tokens"": [""doi:10.1007/978-3-032-27336-9_4"", ""url:https://doi.org/10.1007/978-3-032-27336-9_4""], ""record_ids"": [""6N9ANHXA""]}]","[{""work_id"": ""work:8c24bcba-b32b-52ce-961a-18b40cd0a22e"", ""version_id"": ""version:20768b9f-d2d8-513a-aacd-989458319fbb"", ""evidence_tokens"": [""doi:10.1007/978-3-032-27336-9_4"", ""url:https://doi.org/10.1007/978-3-032-27336-9_4""], ""record_ids"": [""6N9ANHXA""]}]","[""6N9ANHXA""]",True,fulltext_access_not_available,False,False,,identified_not_screened,[],[],"[""acquire_or_complete_source_preparation"", ""perform_governed_screening_and_record_AI_review_provenance""]"
codex-websearch-2026:doi:10.1007/s10639-026-13908-2,Teachers’ perceptions of generative AI in gender-inclusive STEM education: a grounded theory study,10.1007/s10639-026-13908-2,2026-02-13,"[""B""]",import_ready,"[{""record_id"": ""EFMF4449"", ""work_id"": ""work:45373e2c-7027-53c3-b5c6-fe3200ae53c4"", ""version_id"": ""version:d73695ad-f9cd-5319-9a3b-bbb4562e4d60""}]","[{""work_id"": ""work:45373e2c-7027-53c3-b5c6-fe3200ae53c4"", ""version_id"": ""version:d73695ad-f9cd-5319-9a3b-bbb4562e4d60"", ""evidence_tokens"": [""doi:10.1007/s10639-026-13908-2""], ""record_ids"": [""EFMF4449""]}]","[{""work_id"": ""work:45373e2c-7027-53c3-b5c6-fe3200ae53c4"", ""version_id"": ""version:d73695ad-f9cd-5319-9a3b-bbb4562e4d60"", ""evidence_tokens"": [""doi:10.1007/s10639-026-13908-2""], ""record_ids"": [""EFMF4449""]}]","[""EFMF4449""]",True,agent_qc_approved,True,True,generated/source-acquisition/codex-websearch-2026/markdown-clean/20972ab37764965190de.md,identified_not_screened,[],[],"[""perform_governed_screening_and_record_AI_review_provenance""]"
codex-websearch-2026:doi:10.1007/s43681-025-00926-y,Toward substantive intersectional algorithmic fairness: desiderata for a feminist approach,10.1007/s43681-025-00926-y,2026-01-08,"[""B""]",import_ready,"[{""record_id"": ""KJWMQSMN"", ""work_id"": ""work:34294df8-8138-5c66-8137-b0c1a6afa3ff"", ""version_id"": ""version:7549e3c1-700e-5337-8718-3d08f77c0685""}]","[{""work_id"": ""work:34294df8-8138-5c66-8137-b0c1a6afa3ff"", ""version_id"": ""version:7549e3c1-700e-5337-8718-3d08f77c0685"", ""evidence_tokens"": [""doi:10.1007/s43681-025-00926-y""], ""record_ids"": [""KJWMQSMN""]}]","[{""work_id"": ""work:34294df8-8138-5c66-8137-b0c1a6afa3ff"", ""version_id"": ""version:7549e3c1-700e-5337-8718-3d08f77c0685"", ""evidence_tokens"": [""doi:10.1007/s43681-025-00926-y""], ""record_ids"": [""KJWMQSMN""]}]","[""KJWMQSMN""]",True,agent_qc_approved,True,True,generated/source-acquisition/codex-websearch-2026/markdown-clean/014fa29a31624d80e530.md,identified_not_screened,[],[],"[""perform_governed_screening_and_record_AI_review_provenance""]"
codex-websearch-2026:doi:10.1007/s43681-026-01161-9,Beyond inclusion: feminist AI for transformative justice in STEM,10.1007/s43681-026-01161-9,2026-05-20,"[""B""]",import_ready,"[{""record_id"": ""8YZKPS42"", ""work_id"": ""work:0b69246b-4c05-5e2f-a22e-1416ec893b1d"", ""version_id"": ""version:47a79a31-c2f5-5529-ac37-3681eb291579""}]","[{""work_id"": ""work:0b69246b-4c05-5e2f-a22e-1416ec893b1d"", ""version_id"": ""version:47a79a31-c2f5-5529-ac37-3681eb291579"", ""evidence_tokens"": [""doi:10.1007/s43681-026-01161-9""], ""record_ids"": [""8YZKPS42""]}]","[{""work_id"": ""work:0b69246b-4c05-5e2f-a22e-1416ec893b1d"", ""version_id"": ""version:47a79a31-c2f5-5529-ac37-3681eb291579"", ""evidence_tokens"": [""doi:10.1007/s43681-026-01161-9""], ""record_ids"": [""8YZKPS42""]}]","[""8YZKPS42""]",True,agent_qc_approved,True,True,generated/source-acquisition/codex-websearch-2026/markdown-clean/eb3406e6b996a77368bd.md,identified_not_screened,[],[],"[""perform_governed_screening_and_record_AI_review_provenance""]"
codex-websearch-2026:doi:10.1007/s44155-026-00463-x,An ethical framework for assessing artificial intelligence as augmentation or automation in social work,10.1007/s44155-026-00463-x,2026-08-05,"[""A""]",import_ready,"[{""record_id"": ""2JSZR47F"", ""work_id"": ""work:b5b557a0-a651-5a88-b70c-1b05374e5b06"", ""version_id"": ""version:b1e947e9-1a11-575d-8316-457534f59271""}]","[{""work_id"": ""work:b5b557a0-a651-5a88-b70c-1b05374e5b06"", ""version_id"": ""version:b1e947e9-1a11-575d-8316-457534f59271"", ""evidence_tokens"": [""doi:10.1007/s44155-026-00463-x"", ""url:https://doi.org/10.1007/s44155-026-00463-x""], ""record_ids"": [""2JSZR47F""]}]","[{""work_id"": ""work:b5b557a0-a651-5a88-b70c-1b05374e5b06"", ""version_id"": ""version:b1e947e9-1a11-575d-8316-457534f59271"", ""evidence_tokens"": [""doi:10.1007/s44155-026-00463-x"", ""url:https://doi.org/10.1007/s44155-026-00463-x""], ""record_ids"": [""2JSZR47F""]}]","[""2JSZR47F""]",True,agent_qc_approved_after_repair,True,True,generated/source-acquisition/codex-websearch-2026/markdown-repaired/f30907f71818e5803100.md,identified_not_screened,[],[],"[""perform_governed_screening_and_record_AI_review_provenance""]"
codex-websearch-2026:doi:10.1016/j.bodyim.2026.102042,"Existing and future use cases, and safety and ethical considerations for AI in body image, and eating disorder prevention",10.1016/j.bodyim.2026.102042,2026-02-07,"[""B""]",import_ready,"[{""record_id"": ""SK6VDF5B"", ""work_id"": ""work:8b252014-a5d5-5f43-b84b-421872669f02"", ""version_id"": ""version:e3d34567-d5d5-5b21-a2e1-04477d965774""}]","[{""work_id"": ""work:8b252014-a5d5-5f43-b84b-421872669f02"", ""version_id"": ""version:e3d34567-d5d5-5b21-a2e1-04477d965774"", ""evidence_tokens"": [""doi:10.1016/j.bodyim.2026.102042""], ""record_ids"": [""SK6VDF5B""]}]","[{""work_id"": ""work:8b252014-a5d5-5f43-b84b-421872669f02"", ""version_id"": ""version:e3d34567-d5d5-5b21-a2e1-04477d965774"", ""evidence_tokens"": [""doi:10.1016/j.bodyim.2026.102042""], ""record_ids"": [""SK6VDF5B""]}]","[""SK6VDF5B""]",True,automatic_acquisition_failed,False,False,,identified_not_screened,[],[],"[""acquire_or_complete_source_preparation"", ""perform_governed_screening_and_record_AI_review_provenance""]"
codex-websearch-2026:doi:10.1016/j.caeai.2026.100602,Beyond “painting in pink”: A critical case study of all-girls generative AI workshops in a European makerspace and implications for gender equity in computing,10.1016/j.caeai.2026.100602,2026-05-04,"[""B""]",import_ready,"[{""record_id"": ""S2DN9CFC"", ""work_id"": ""work:88488d25-08d0-5719-8948-5bff2e7d43cf"", ""version_id"": ""version:ea23f511-1667-56d4-8b7e-b46394a73f86""}]","[{""work_id"": ""work:88488d25-08d0-5719-8948-5bff2e7d43cf"", ""version_id"": ""version:ea23f511-1667-56d4-8b7e-b46394a73f86"", ""evidence_tokens"": [""doi:10.1016/j.caeai.2026.100602""], ""record_ids"": [""S2DN9CFC""]}]","[{""work_id"": ""work:88488d25-08d0-5719-8948-5bff2e7d43cf"", ""version_id"": ""version:ea23f511-1667-56d4-8b7e-b46394a73f86"", ""evidence_tokens"": [""doi:10.1016/j.caeai.2026.100602""], ""record_ids"": [""S2DN9CFC""]}]","[""S2DN9CFC""]",True,agent_qc_approved_after_repair,True,True,generated/source-acquisition/codex-websearch-2026/markdown-repaired/4dd9fd2a26f9d7eea07a.md,identified_not_screened,[],[],"[""perform_governed_screening_and_record_AI_review_provenance""]"
codex-websearch-2026:doi:10.1016/j.chbr.2026.101246,Can AI reduce gender bias? The case of AI-generated audio conversations in Google's NotebookLM,10.1016/j.chbr.2026.101246,2026-08-08,"[""B""]",import_ready,"[{""record_id"": ""EWPPFD7U"", ""work_id"": ""work:f66a5701-d3b8-5c56-91b4-3dfb9ab82387"", ""version_id"": ""version:c2dcd2d3-9339-5bc3-aa6d-9a606950cbac""}]","[{""work_id"": ""work:f66a5701-d3b8-5c56-91b4-3dfb9ab82387"", ""version_id"": ""version:c2dcd2d3-9339-5bc3-aa6d-9a606950cbac"", ""evidence_tokens"": [""doi:10.1016/j.chbr.2026.101246""], ""record_ids"": [""EWPPFD7U""]}]","[{""work_id"": ""work:f66a5701-d3b8-5c56-91b4-3dfb9ab82387"", ""version_id"": ""version:c2dcd2d3-9339-5bc3-aa6d-9a606950cbac"", ""evidence_tokens"": [""doi:10.1016/j.chbr.2026.101246""], ""record_ids"": [""EWPPFD7U""]}]","[""EWPPFD7U""]",True,automatic_acquisition_failed,False,False,,identified_not_screened,[],[],"[""acquire_or_complete_source_preparation"", ""perform_governed_screening_and_record_AI_review_provenance""]"
